date,year,season,RONI
1995-12,1995,NDJ,-0.9
1996-01,1996,DJF,-0.9
1996-02,1996,JFM,-0.8
1996-03,1996,FMA,-0.6
1996-04,1996,MAM,-0.4
1996-05,1996,AMJ,-0.3
1996-06,1996,MJJ,-0.3
1996-07,1996,JJA,-0.2
1996-08,1996,JAS,-0.2
1996-09,1996,ASO,-0.2
1996-10,1996,SON,-0.3
1996-11,1996,OND,-0.3
1996-12,1996,NDJ,-0.3
1997-01,1997,DJF,-0.2
1997-02,1997,JFM,-0.1
1997-03,1997,FMA,0.2
1997-04,1997,MAM,0.5
1997-05,1997,AMJ,1.0
1997-06,1997,MJJ,1.3
1997-07,1997,JJA,1.7
1997-08,1997,JAS,2.0
1997-09,1997,ASO,2.3
1997-10,1997,SON,2.4
1997-11,1997,OND,2.4
1997-12,1997,NDJ,2.3
1998-01,1998,DJF,2.2
1998-02,1998,JFM,1.8
1998-03,1998,FMA,1.3
1998-04,1998,MAM,0.8
1998-05,1998,AMJ,0.1
1998-06,1998,MJJ,-0.5
1998-07,1998,JJA,-1.2
1998-08,1998,JAS,-1.4
1998-09,1998,ASO,-1.5
1998-10,1998,SON,-1.5
1998-11,1998,OND,-1.6
1998-12,1998,NDJ,-1.6
1999-01,1999,DJF,-1.5
1999-02,1999,JFM,-1.3
1999-03,1999,FMA,-1.1
1999-04,1999,MAM,-1.0
1999-05,1999,AMJ,-1.0
1999-06,1999,MJJ,-1.0
1999-07,1999,JJA,-1.0
1999-08,1999,JAS,-1.0
1999-09,1999,ASO,-1.0
1999-10,1999,SON,-1.1
1999-11,1999,OND,-1.4
1999-12,1999,NDJ,-1.6
2000-01,2000,DJF,-1.7
2000-02,2000,JFM,-1.4
2000-03,2000,FMA,-1.1
2000-04,2000,MAM,-0.8
2000-05,2000,AMJ,-0.6
2000-06,2000,MJJ,-0.5
2000-07,2000,JJA,-0.4
2000-08,2000,JAS,-0.4
2000-09,2000,ASO,-0.4
2000-10,2000,SON,-0.6
2000-11,2000,OND,-0.7
2000-12,2000,NDJ,-0.7
2001-01,2001,DJF,-0.6
2001-02,2001,JFM,-0.5
2001-03,2001,FMA,-0.5
2001-04,2001,MAM,-0.5
2001-05,2001,AMJ,-0.3
2001-06,2001,MJJ,-0.1
2001-07,2001,JJA,0.0
2001-08,2001,JAS,0.0
2001-09,2001,ASO,0.0
2001-10,2001,SON,-0.2
2001-11,2001,OND,-0.2
2001-12,2001,NDJ,-0.3
2002-01,2002,DJF,-0.1
2002-02,2002,JFM,0.0
2002-03,2002,FMA,0.0
2002-04,2002,MAM,0.1
2002-05,2002,AMJ,0.4
2002-06,2002,MJJ,0.7
2002-07,2002,JJA,0.9
2002-08,2002,JAS,1.1
2002-09,2002,ASO,1.3
2002-10,2002,SON,1.4
2002-11,2002,OND,1.5
2002-12,2002,NDJ,1.2
2003-01,2003,DJF,0.9
2003-02,2003,JFM,0.5
2003-03,2003,FMA,0.2
2003-04,2003,MAM,-0.2
2003-05,2003,AMJ,-0.4
2003-06,2003,MJJ,-0.3
2003-07,2003,JJA,0.0
2003-08,2003,JAS,0.2
2003-09,2003,ASO,0.2
2003-10,2003,SON,0.2
2003-11,2003,OND,0.3
2003-12,2003,NDJ,0.3
2004-01,2004,DJF,0.3
2004-02,2004,JFM,0.1
2004-03,2004,FMA,0.1
2004-04,2004,MAM,0.2
